,Date,Home Team,Away Team,Referee,AttackRateH,AttackRateA,DefenceRateH,DefenceRateA,DGH,DGA,Home Rank,Away Rank,Avg HST,Avg AST,Avg HF,Avg AF,Avg HC,Avg AC,Avg HR,Avg AR,Avg HY,Avg AY
2284,8/13/2016,Man City,Sunderland,R Madley,0.44,0.56,0.31,0.69,0.406,0.675,0.85,0.2,0.015,0.016,0.029,0.046,0.03,0.02,0.023,0,0.008,0.018
3001,22-04-18,Man City,Swansea,C Pawson,0.57,0.43,0.44,0.56,0.719,0.608,0.9,0.3,0.024,0.003,0.009,0.014,0.009,0.002,0.012,0,0,0.005
3436,17-08-19,Man City,Tottenham,M Oliver,0.373,0.627,0.875,0.125,0.229,0.792,1,0.85,0.038,0.011,0.037,0.013,0.043,0.007,0.015,0,0.008,0
3474,21-09-19,Man City,Watford,M Dean,0.509,0.491,0.95,0.05,0.344,0.767,1,0.5,0.037,0.019,0.012,0.027,0.015,0.012,0.007,0,0.014,0.016
2905,31-01-18,Man City,West Brom,R Madley,0.65,0.35,0.5,0.5,0.5,0.458,0.9,0.55,0.023,0.003,0.016,0.02,0.018,0.002,0.005,0,0.005,0.016
3317,27-02-19,Man City,West Ham,S Attwell,0.612,0.388,0.479,0.521,0.75,0.625,1,0.4,0.015,0.003,0.003,0.012,0.023,0.004,0.009,0,0,0.01
3497,06-10-19,Man City,Wolves,C Pawson,0.514,0.486,0.844,0.156,0.344,0.783,1,0.7,0.006,0.009,0.025,0.04,0.026,0.003,0.006,0,0.032,0.015
3489,30-09-19,Man United,Arsenal,K Friend,0.5,0.5,0.844,0.156,0.271,0.817,0.75,0.8,0.013,0.023,0.041,0.037,0.023,0.02,0.026,0,0.026,0.015
3559,01-12-19,Man United,Aston Villa,C Pawson,0.667,0.333,0.441,0.559,0.844,0.675,0.75,0,0.017,0.012,0.032,0.02,0.023,0.023,0.011,0,0.023,0.007
3238,30-12-18,Man United,Bournemouth,L Mason,0.4,0.6,0.48,0.52,0.323,0.758,0.95,0.45,0.02,0.011,0.018,0.016,0.009,0.011,0.005,0,0.01,0
3537,10-11-19,Man United,Brighton,J Moss,0.627,0.373,0.533,0.467,0.604,0.675,0.75,0.2,0.033,0.008,0.021,0.036,0.013,0.005,0.012,0,0.012,0.035
3657,22-01-20,Man United,Burnley,J Moss,0.681,0.319,0.5,0.5,0.76,0.7,0.75,0.3,0.017,0.007,0.018,0.015,0.01,0.004,0.005,0,0,0.011
3416,12-05-19,Man United,Cardiff,J Moss,0.486,0.514,0.527,0.473,0.583,0.658,0.95,0,0.019,0.011,0.012,0.01,0.019,0.003,0,0,0.012,0.014
3429,11-08-19,Man United,Chelsea,A Taylor,0.563,0.438,0.938,0.063,0.49,0.717,0.75,0.9,0.019,0.037,0.039,0.043,0.01,0.016,0,0,0.023,0.035
3443,24-08-19,Man United,Crystal Palace,P Tierney,0.787,0.213,0.769,0.231,0.594,0.667,0.75,0.45,0.011,0.015,0.02,0.056,0.025,0.003,0.007,0,0.014,0.033
3586,15-12-19,Man United,Everton,M Oliver,0.558,0.442,0.604,0.396,0.229,0.683,0.75,0.65,0.021,0.011,0.019,0.028,0.014,0.012,0.005,0,0.005,0.012
3226,26-12-18,Man United,Huddersfield,J Moss,0.64,0.36,0.43,0.57,0.5,0.3,0.95,0.25,0.026,0.007,0.017,0.03,0.012,0.007,0.011,0,0.005,0.006
2507,01-02-17,Man United,Hull,M Jones,0.68,0.32,0.43,0.57,0.292,0.375,0.8,0,0.014,0.007,0.033,0.033,0.015,0.002,0.005,0,0.005,0.022
3462,14-09-19,Man United,Leicester,M Atkinson,0.3,0.7,0.943,0.057,0.313,0.833,0.75,0.6,0.017,0.014,0.033,0.042,0.009,0.027,0,0,0.007,0.016
3508,20-10-19,Man United,Liverpool,M Atkinson,0.481,0.519,0.923,0.077,0.469,0.875,0.75,0.95,0.006,0.017,0.013,0.038,0.008,0.003,0,0,0,0.007
3388,24-04-19,Man United,Man City,A Marriner,0.564,0.436,0.5,0.5,0.542,0.592,0.95,1,0.002,0.014,0.014,0.018,0.002,0.002,0.008,0,0.008,0.01
3606,26-12-19,Man United,Newcastle,K Friend,0.71,0.29,0.654,0.346,0.625,0.575,0.75,0.4,0.026,0.007,0.018,0.016,0.011,0,0.02,0,0.01,0.012
3634,11-01-20,Man United,Norwich,A Taylor,0.557,0.443,0.673,0.327,0.5,0.683,0.75,0,0.015,0.01,0.031,0.015,0.009,0.004,0.01,0.034,0,0
3322,02-03-19,Man United,Southampton,S Attwell,0.7,0.3,0.328,0.672,0.573,0.358,0.95,0.2,0.013,0.009,0.011,0.019,0.018,0.013,0.004,0,0.009,0.005
2889,15-01-18,Man United,Stoke,A Taylor,0.45,0.55,0.42,0.58,0.469,0.592,0.75,0.4,0.021,0.017,0.023,0.021,0.013,0.002,0.01,0,0.01,0.006
2967,31-03-18,Man United,Swansea,R Madley,0.76,0.24,0.21,0.79,0.708,0.25,0.75,0.3,0.011,0.006,0.007,0.024,0.006,0.006,0.008,0.029,0,0
3564,04-12-19,Man United,Tottenham,P Tierney,0.457,0.543,0.736,0.264,0.375,0.808,0.75,0.85,0.019,0.019,0.017,0.022,0.01,0.007,0.011,0,0,0.006
3349,30-03-19,Man United,Watford,S Attwell,0.581,0.419,0.481,0.519,0.51,0.442,0.95,0.35,0.011,0.023,0.021,0.016,0.006,0.009,0.004,0,0.004,0.01
2991,15-04-18,Man United,West Brom,P Tierney,0.56,0.44,0.43,0.57,0.667,0.6,0.75,0.55,0.008,0.011,0.011,0.023,0.007,0.007,0.004,0,0.004,0.005
3369,13-04-19,Man United,West Ham,G Scott,0.617,0.383,0.421,0.579,0.198,0.3,0.95,0.4,0.008,0.011,0.021,0.009,0.006,0.02,0.008,0,0.004,0.005
3667,01-02-20,Man United,Wolves,P Tierney,0.495,0.505,0.627,0.373,0.417,0.808,0.75,0.7,0.012,0.01,0.023,0.03,0.008,0.012,0.009,0,0.014,0.011
3428,11-08-19,Newcastle,Arsenal,M Atkinson,0.733,0.267,1,0,0.719,0.725,0.4,0.8,0.008,0.011,0.032,0.023,0.016,0.01,0,0,0.008,0.026
2063,12/19/2015,Newcastle,Aston Villa,M Atkinson,0.62,0.38,0.46,0.54,0.531,0.383,0.3,0.2,0.011,0.026,0.017,0.032,0.007,0.016,0.005,0,0.005,0.019
3533,09-11-19,Newcastle,Bournemouth,M Atkinson,0.5,0.5,0.742,0.258,0.198,0.717,0.4,0.35,0.027,0.013,0.021,0.013,0.013,0.01,0.018,0,0.012,0
3475,21-09-19,Newcastle,Brighton,M Atkinson,0.625,0.375,0.815,0.185,0.177,0.642,0.4,0.2,0.014,0.014,0.029,0.024,0.015,0.009,0.007,0,0.014,0.008
3312,26-02-19,Newcastle,Burnley,C Pawson,0.492,0.508,0.389,0.611,0.188,0.358,0.55,0.7,0.006,0.006,0.012,0.015,0.008,0.013,0.013,0,0.004,0.015
3264,19-01-19,Newcastle,Cardiff,S Attwell,0.674,0.326,0.371,0.629,0.49,0.292,0.55,0,0.014,0.003,0.018,0.013,0.015,0.022,0,0,0,0.006
3646,18-01-20,Newcastle,Chelsea,C Kavanagh,0.446,0.554,0.656,0.344,0.188,0.767,0.4,0.9,0.005,0.013,0.015,0.029,0.002,0.021,0.01,0,0.005,0.006
3594,21-12-19,Newcastle,Crystal Palace,S Hooper,0.578,0.422,0.633,0.367,0.313,0.758,0.4,0.45,0.008,0.015,0.022,0.025,0.009,0.012,0.011,0,0.011,0
3610,28-12-19,Newcastle,Everton,L Mason,0.468,0.532,0.593,0.407,0.188,0.633,0.4,0.65,0.013,0.032,0.023,0.029,0.011,0.018,0,0,0.01,0.012
3217,22-12-18,Newcastle,Fulham,M Atkinson,0.42,0.58,0.46,0.54,0.271,0.5,0.55,0,0,0.007,0.016,0.027,0.013,0,0.01,0,0.005,0.012
3306,23-02-19,Newcastle,Huddersfield,K Friend,0.501,0.499,0.422,0.578,0.198,0.308,0.55,0.25,0.027,0.003,0.017,0.014,0.023,0,0.018,0,0.009,0
1562,9/20/2014,Newcastle,Hull,N Swarbrick,0.57,0.43,0.49,0.51,0.365,0.442,0.55,0.25,0.024,0.014,0.026,0.033,0.012,0.006,0.007,0,0.027,0.016
3621,01-01-20,Newcastle,Leicester,M Atkinson,0.36,0.64,0.797,0.203,0.323,0.933,0.4,0.6,0.005,0.034,0.014,0.026,0.009,0.011,0.01,0,0.005,0.006
3403,04-05-19,Newcastle,Liverpool,A Marriner,0.659,0.341,0.456,0.544,0.646,0.558,0.55,0.85,0.014,0.011,0.014,0.007,0.003,0.005,0.004,0.054,0.004,0.005
